72,おとにきく,たかしのはまの,あたなみは,かけしやそての,ぬれもこそすれ
73,たかさこの,をのへのさくら,さきにけり,とやまのかすみ,たたすもあらなむ
74,うかりける,ひとをはつせの,やまおろしよ,はけしかれとは,いのらぬものを
75,ちきりおきし,させもかつゆを,いのちにて,あはれことしの,あきもいぬめり
76,わたのはら,こきいててみれは,ひさかたの,くもゐにまかふ,おきつしらなみ
77,せをはやみ,いはにせかるる,たきかはの,われてもすゑに,あはむとそおもふ
78,あはちしま,かよふちとりの,なくこゑに,いくよねさめぬ,すまのせきもり
79,あきかせに,たなひくくもの,たえまより,もれいつるつきの,かけのさやけさ
80,なかからむ,こころもしらす,くろかみの,みたれてけさは,ものをこそおもへ
81,ほとときす,なきつるかたを,なかむれは,たたありあけの,つきそのこれる
82,おもひわひ,さてもいのちは,あるものを,うきにたへぬは,なみたなりけり
83,よのなかよ,みちこそなけれ,おもひいる,やまのおくにも,しかそなくなる
84,なからへは,またこのころや,しのはれむ,うしとみしよそ,いまはこひしき
85,よもすから,ものおもふころは,あけやらて,ねやのひまさへ,つれなかりけり
86,なけけとて,つきやはものを,おもはする,かこちかほなる,わかなみたかな
87,むらさめの,つゆもまたひぬ,まきのはに,きりたちのほる,あきのゆふくれ
88,なにはえの,あしのかりねの,ひとよゆゑ,みをつくしてや,こひわたるへき
89,たまのをよ,たえなはたえね,なからへは,しのふることの,よわりもそする
90,みせはやな,をしまのあまの,そてたにも,ぬれにそぬれし,いろはかはらす
91,きりきりす,なくやしもよの,さむしろに,ころもかたしき,ひとりかもねむ
92,わかそては,しほひにみえぬ,おきのいしの,ひとこそしらね,かわくまもなし
93,よのなかは,つねにもかもな,なきさこく,あまのをふねの,つなてかなしも
94,みよしのの,やまのあきかせ,さよふけて,ふるさとさむく,ころもうつなり
95,おほけなく,うきよのたみに,おほふかな,わかたつそまに,すみそめのそて
96,はなさそふ,あらしのにはの,ゆきならて,ふりゆくものは,わかみなりけり
97,こぬひとを,まつほのうらの,ゆふなきに,やくやもしほの,みもこかれつつ
98,かせそよく,ならのをかはの,ゆふくれは,みそきそなつの,しるしなりける
99,ひともをし,ひともうらめし,あちきなく,よをおもふゆゑに,ものおもふみは
100,ももしきや,ふるきのきはの,しのふにも,なほあまりある,むかしなりけり
